Timestamp,Price,Trade Volume,Transactions Volume,Hash Rate
2019-06-26,11766,188227336,399624,57826748
2019-06-27,12933,521683548,361050,57195337
2019-06-28,11133,423175771,407094,57552683
2019-06-29,12374,251088678,356682,59739283
2019-06-30,11890,184877336,330731,62124771
2019-07-01,10738,172764922,336862,61165896
2019-07-02,10579,171482109,373409,59910359
2019-07-03,10805,240430091,397554,61131189
